No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
38,FL,1,3 ,M-38（E）,,,,,SH,25.75,29.91,5.95,3.03,1,,0
39,FL,26,3 ,M-38（E）,,,,,SH,30.1,31.9,9.4,8.08,16,,0
40,RF,,3 ,M-38（E）,,,,,SH,52.5,20.6,10.9,9.01,13,,0
41,FL,5,3 ,M-38（E）,,,,,SH,,,,,3,,0
42,FL,,3 ,M-38（E）,,,,,SH,30.2,55.2,14.1,24.75,,,0
43,RF,,3 ,M-38（E）,,,,,SH,17.5,18.6,5.4,1.56,16,,0
44,CO,10,3 ,M-38（E）,,,,,SH,66.55,46.95,10.8,38.4,4,,0
45,RF,24,3 ,M-38（E）,,,,,SH,38.4,36.9,13.1,11.05,16,,1
46,FL,1,3 ,M-38（E）,,,,,SH,24.1,35.1,10,6.4,1,,0
47,FL,27,3 ,M-38（E）,,,,,SH,22.45,14.2,6.15,1.26,16,,0
48,FL,4,3 ,M-38（E）,,,,,SH,,,,,3,,0
49,CH,,3 ,M-38（E）,,,,,SH,12.5,9.6,5.8,0.53,,,0
50,FL,1,3 ,M-38（E）,,,,,SH,62.7,53.1,21.6,51.75,1,,1
51,FL,,3 ,M-38（E）,,,,,SH,27.1,21.5,5.1,1.41,,,0
52,FL,5,3 ,M-38（E）,,,,,SH,,,,,3,,0
53,RBL,,3 ,M-38（E）,,,,,SH,44.1,31.7,13,20.58,11,,0
54,BL,,3 ,M-38（E）,,,,,SH,43.2,31.6,11.3,13.82,15,,0
55,FL,3,3 ,M-38（E）,,,,,SH,23.35,30.8,5,1.88,3,,1
56,CH,,3 ,M-38（E）,,,,,SH,13.5,6.2,1.9,0.1,,,0
57,石匙,,1,K-35（E）,,Y2U,,,SH,66.45,26.5,8.45,13.16,,Jyomon,0
58,FL,22,3 ,M-38（E）,,,,,SH,45.6,32.2,7.6,7.5,13,,0
59,RF,5,3 ,M-38（E）,,,,,SH,,,,,3,,0
60,SP,,3 ,M-38（E）,,,,,SH,16.2,5.8,4.2,0.35,,,0
61,HS,,,O-40（E）,,,,,,112.2,31.7,14.9,87.42,,Jyomon,0
62,CH,,,O-40（E）,,,,,SH,12.1,13.5,1.8,0.34,,,0
63,FL,1,,L-38（E）,,埋土,,,SH,28.16,19.5,4.8,2.22,1,,1
64,RF,,,L-38（E）,,埋土,,,SH,64.6,35,9,17.56,,,1
65,CH,,3 ,M-39（E）,,埋土,,,TS,19.8,14.6,2.2,0.59,,,0
66,FL,,3 ,M-39（E）,,,,,SH,22.1,26.9,6.8,2.71,,,0
67,RF,,3 ,M-39（E）,,埋土,,,SH,21.2,19.4,6.3,1.77,,,0
68,CH,,3 ,M-39（E）,,埋土,,,SH,13,14.3,1.7,0.18,,,0
69,BF,,3,M-39（E）,,埋土,,,TF,27.5,21.8,6.1,27.6,,Jyomon,0
70,PE,,3,M-39（E）,,埋土,,,,,,,,,Jyomon,0
71,FL,,,N-32（E）,,埋土,,,SH,24.6,25.5,9.7,2.89,,,0
72,FL,,,N-32（E）,,埋土,,,SH,45.8,43.8,9.9,16.76,3,,0
73,BL,,,N-32（E）,,埋土,,,SH,58.5,37.2,9.9,17.02,26,,1
74,BL,,,N-32（E）,,埋土,,,SH,60.9,32.4,7.5,11.36,27,,0
75,FL,,,N-32（E）,,埋土,,,SH,14.7,22.5,5.85,2.68,16,,0
76,FL,,,G-32（E）,,,,,SH,26.1,31.9,4.5,3.72,,,0
78,FL,,,I-35（E）,,埋土,,,TF,34.1,28.6,7.9,5.78,,,0
79,CH,,,E-27（E）,,埋土,,,SH,15.8,9.9,1.1,0.29,,,0
80,FL,,,N-23（E）,,埋土,,,?,48.7,28.4,8.2,11.63,,,0
81,CH,,,P-20（E）,,埋土,,,SH,13.3,12.4,3.7,0.54,,,0
82,BL,,,P-39（E）,,Y3,,,SH,104.8,36.6,10.4,29.82,28,,1
83,FL,13,,G-35（E）,,Y4,,,SH,34.4,47.6,19.2,9.21,5,,0
85,FL,,,N-35（E）,,Y3,,,SH,18.5,21.1,3.1,0.78,,,0
86,RBL,,,O-39（E）,,Y5M,,,SH,70.7,40.6,8.1,23.12,24,,1
87,FL,,,O-34（E）,,Y3,,,SH,55.5,32.2,14,21.36,12,,0
88,FL,,3 ,M-38（E）,,,,,SH,27.3,22.6,5.4,3.91,15,,0
89,FL,,,E,,表採,,,?,42.7,26.8,9,6.16,,,0
90,PE,,,E,,表採,,,?,22.7,17.2,5.4,1.21,,Jyomon,0
91,FL,,,E,,表採,,,Sandstone,27.5,21.9,8.3,3.95,,,0
92,FL,,,E,,表採,,,?,21.6,16.7,4.85,1.37,,,0
93,FL,,,E,,表採,,,SH,35.3,28.6,5.9,4.88,,,0
94,FL,,,E,,表採,,,SH,14.9,21.6,3.1,0.65,,,0
95,CH,,,E,,表採,,,SH,12.5,13.3,2.2,0.6,,,0
96,CH,,,E,,表採,,,SH,12.3,19.5,3.1,0.44,,,0
97,FL,,,E,,表採,,,SH,20,17.2,4.2,0.88,,,0
98,SP,11,,E,,表採,,,SH,22.5,11.4,9.25,1.77,5,,0
99,FL,,,E,,表採,,,SH,41.4,23.8,5.05,4.52,,,0
100,BF,,,E,,表採,,,?,29.5,19,9.7,3.92,,Jyomon,0
101,CH,,,E,,表採,,,?,15.8,18.4,6.1,1.13,,,1
102,FL,,,E,,表採,,,TS,12.8,20.15,1.4,0.41,,,0
103,FL,,,E,,表採,,,TS,17.95,21.1,2.8,0.78,,,0
104,FL,,,E,,表採,,,TF,46.7,37.7,7.6,12.43,,,0
105,FL,,,E,,表採,,,SH,27.8,19.95,4.8,3.38,,,0
106,FL,,,E,,表採,,,SH,35.5,44,2.6,5.12,,,0
107,RF,,,E,,表採,,,SH,44,39.25,13.2,18.26,,,0
109,CO,,,E,,表採,,,?,19.7,43.5,17.8,13.68,,,0
110,FL,,,E,,表採,,,SH,30.4,1.2,7.75,3.06,10,,0
111,CH,,,E,,表採,,,TU,16.2,18.7,3,0.67,,,0
112,PE,,,E,,表採,,,?,,,,,,Jyomon,0
113,RF,,,E,,表採,,,SH,21.45,17.8,3.15,1.25,,,0
114,RF,,,E,,,,,SH,2.625,1.845,1.95,2.58,2,,1
115,PE,,,E,,表採,,,?,19.9,10.7,4.8,0.78,,Jyomon,0
116,PE,,,E,,表採,,,?,11,8,3,0.33,,Jyomon,0
117,FL,,,E,,表採,,,TF,27.45,30,8.15,5.18,,,0
