No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
340 ,FL,19 ,1 ,J-36（E）,,Y3,2046 ,(386),SH,43 ,14 ,8 ,3 ,10 ,,1 
341 ,FL,,1 ,J-36（E）,,Y3,2020 ,(388),SH,30 ,28 ,6 ,5 ,,,1 
342 ,CH,,1 ,J-36（E）,,Y3,2133 ,(351),SH,15 ,10 ,1 ,0 ,,,0 
343 ,CH,23 ,1 ,J-36（E）,,Y3,2172 ,(345),SH,13 ,6 ,3 ,0 ,14 ,,0 
344 ,CH,,1 ,J-36（E）,,Y3,2160 ,(345),SH,10 ,11 ,2 ,0 ,,,0 
345 ,CH,,1 ,J-36（E）,,Y3,1949 ,(541),SH,11 ,8 ,2 ,0 ,7 ,,0 
346 ,CH,,1 ,J-36（E）,,Y3,1931 ,(518),SH,13 ,9 ,3 ,0 ,7 ,,0 
347 ,CH,,1 ,J-36（E）,,Y3,1996 ,(294),SH,18 ,16 ,5 ,1 ,7 ,,0 
348 ,FL,17 ,1 ,J-36（E）,,Y3,2018 ,(280),SH,41 ,14 ,11 ,6 ,7 ,,0 
349 ,CH,,1 ,J-36（E）,,Y3,2009 ,(306),SH,6 ,10 ,2 ,0 ,7 ,,0 
350 ,FL,,1 ,J-36（E）,,Y3,1947 ,(321),SH,15 ,22 ,7 ,1 ,7 ,,0 
351 ,PI,,1 ,J-36（E）,,Y3,1944 ,(313),SH,35 ,27 ,6 ,7 ,,,1 
352 ,RF,,1 ,J-36（E）,,Y3,1935 ,(313),SH,12 ,13 ,6 ,0 ,,,0 
353 ,FL,,1 ,J-36（E）,,Y3,1837 ,(375),SH,22 ,10 ,3 ,0 ,7 ,,0 
354 ,FL,15 ,1 ,J-36（E）,,Y3,1841 ,(354),SH,31 ,34 ,9 ,5 ,5 ,,0 
355 ,CH,,1 ,J-36（E）,,Y3,1852 ,(304),Sh,11 ,10 ,2 ,0 ,,,0 
356 ,KN,,1 ,J-36（E）,,Y3,1794 ,(362),SH,54 ,17 ,5 ,4 ,21 ,,0 
357 ,SP,15 ,1 ,J-36（E）,,Y3,1766 ,(348),SH,62 ,24 ,8 ,11 ,5 ,,0 
358 ,CH,,1 ,J-36（E）,,Y3,1920 ,(328),SH,19 ,16 ,3 ,,5 ,,0 
359 ,CH,,1 ,J-36（E）,,Y3,1782 ,(347),SH,10 ,9 ,2 ,0 ,8 ,,0 
360 ,CH,,1 ,J-36（E）,,Y3,1895 ,(168),SH,18 ,17 ,4 ,1 ,5 ,,0 
361 ,RF,2 ,1 ,J-36（E）,,Y3,,,SH,13 ,14 ,6 ,1 ,2 ,,1 
362 ,CH,,1 ,J-36（E）,,Y3,1856 ,(147),SH,14 ,16 ,4 ,1 ,,,0 
363 ,SP,15 ,1 ,J-36（E）,,Y3,1837 ,(155),SH,38 ,15 ,10 ,4 ,5 ,,0 
364 ,CH,,1 ,J-36（E）,,Y3,1837 ,(174),SH,20 ,7 ,2 ,0 ,14 ,,0 
365 ,FL,3 ,1 ,J-36（E）,,Y3,1785 ,(242),SH,37 ,33 ,8 ,9 ,3 ,,1 
366 ,CH,,1 ,J-36（E）,,Y3,1811 ,(162),SH,12 ,11 ,3 ,0 ,5 ,,0 
367 ,FL,15 ,1 ,J-36（E）,,Y3,1803 ,(145),SH,27 ,22 ,4 ,3 ,5 ,,0 
368 ,FL,12 ,1 ,J-36（E）,,Y3,1732 ,(211),SH,20 ,21 ,6 ,2 ,5 ,,1 
369 ,CH,,1 ,J-36（E）,,Y3,1741 ,(190),SH,15 ,20 ,9 ,2 ,,,0 
370 ,FL,15 ,1 ,J-36（E）,,Y3,1749 ,(163),SH,24 ,12 ,2 ,1 ,5 ,,0 
371 ,FL,23 ,1 ,J-36（E）,,Y3,1736 ,(156),SH,42 ,24 ,9 ,6 ,14 ,,1 
372 ,CH,,1 ,J-36（E）,,Y3,1731 ,(143),SH,8 ,9 ,1 ,0 ,2 ,,0 
373 ,CH,,1 ,J-36（E）,,Y3,1725 ,(129),SH,13 ,5 ,1 ,0 ,,,0 
374 ,CH,16 ,1 ,J-36（E）,,Y3,1915 ,(244),SH,19 ,19 ,6 ,,6 ,,0 
375 ,FL,,1 ,J-36（E）,,Y3,1915 ,(209),SH,16 ,21 ,2 ,1 ,11 ,,0 
376 ,FL,2 ,1 ,J-36（E）,,Y3,1884 ,(243),SH,19 ,24 ,9 ,3 ,2 ,,1 
377 ,CH,23 ,1 ,J-36（E）,,Y3,1893 ,(213),SH,10 ,8 ,2 ,1 ,14 ,,0 
378 ,CH,,1 ,J-36（E）,,Y3,1891 ,(196),SH,19 ,17 ,3 ,0 ,14 ,,0 
379 ,CH,23 ,,J-36（E）,,Y3,,,SH,8 ,15 ,2 ,0 ,14 ,,0 
380 ,CH,,1 ,J-36（E）,,Y3,1879 ,(226),SH,11 ,13 ,2 ,0 ,10 ,,0 
381 ,CH,,1 ,J-36（E）,,Y3,1883 ,(75),SH,9 ,7 ,3 ,0 ,5 ,,0 
382 ,CH,,1 ,J-36（E）,,Y3,1879 ,(101),SH,12 ,11 ,1 ,0 ,5 ,,0 
383 ,CH,,1 ,J-36（E）,,Y3,1863 ,(113),SH,18 ,13 ,2 ,0 ,,,0 
384 ,CH,,1 ,J-36（E）,,Y3,1863 ,(92),SH,12 ,13 ,3 ,0 ,9 ,,0 
385 ,FL,,1 ,J-36（E）,,Y3,1867 ,(78),SH,31 ,11 ,9 ,2 ,10 ,,1 
